,gtfs_route_id,service_date,peak_offpeak_ind,otp_numerator,otp_denominator
198,751,2018-01-30,OFF_PEAK,1098.0,1299.0
199,1,2018-01-30,PEAK,361.0,514.0
200,751,2018-01-31,OFF_PEAK,1109.0,1356.0
201,751,2018-01-31,PEAK,379.0,501.0
202,749,2018-01-31,OFF_PEAK,1984.0,2389.0
203,749,2018-01-31,PEAK,705.0,864.0
204,1,2018-01-31,PEAK,367.0,498.0
205,1,2018-01-31,OFF_PEAK,909.0,1215.0
206,43,2018-01-31,OFF_PEAK,243.0,358.0
207,43,2018-01-31,PEAK,70.0,140.0
208,1,2018-02-01,PEAK,315.0,461.0
209,43,2018-02-01,OFF_PEAK,193.0,332.0
210,43,2018-02-01,PEAK,48.0,90.0
211,749,2018-02-01,PEAK,722.0,854.0
212,749,2018-02-01,OFF_PEAK,1777.0,2337.0
213,1,2018-02-01,OFF_PEAK,1036.0,1350.0
214,751,2018-02-01,OFF_PEAK,1014.0,1351.0
215,751,2018-02-01,PEAK,391.0,488.0
216,43,2018-02-02,PEAK,54.0,140.0
217,43,2018-02-02,OFF_PEAK,230.0,357.0
218,1,2018-02-02,PEAK,300.0,399.0
219,1,2018-02-02,OFF_PEAK,770.0,1036.0
220,749,2018-02-02,OFF_PEAK,1829.0,2339.0
221,751,2018-02-02,PEAK,374.0,501.0
222,751,2018-02-02,OFF_PEAK,1015.0,1324.0
223,749,2018-02-02,PEAK,627.0,830.0
224,43,2018-02-03,OFF_PEAK,333.0,484.0
225,751,2018-02-03,OFF_PEAK,1159.0,1548.0
226,749,2018-02-03,OFF_PEAK,2443.0,3300.0
227,1,2018-02-03,OFF_PEAK,1280.0,1678.0
228,1,2018-02-04,OFF_PEAK,718.0,1096.0
229,43,2018-02-04,OFF_PEAK,248.0,404.0
230,751,2018-02-04,OFF_PEAK,1239.0,1510.0
231,749,2018-02-04,OFF_PEAK,2174.0,2751.0
232,751,2018-02-05,PEAK,321.0,396.0
233,751,2018-02-05,OFF_PEAK,1069.0,1309.0
234,749,2018-02-05,PEAK,616.0,761.0
235,749,2018-02-05,OFF_PEAK,1825.0,2314.0
236,1,2018-02-05,OFF_PEAK,912.0,1173.0
237,1,2018-02-05,PEAK,352.0,459.0
238,43,2018-02-05,OFF_PEAK,269.0,357.0
239,43,2018-02-05,PEAK,59.0,140.0
240,43,2018-02-06,PEAK,72.0,140.0
241,43,2018-02-06,OFF_PEAK,200.0,354.0
242,1,2018-02-06,OFF_PEAK,1027.0,1365.0
243,1,2018-02-06,PEAK,388.0,509.0
244,751,2018-02-06,PEAK,341.0,500.0
245,749,2018-02-06,PEAK,717.0,864.0
246,751,2018-02-06,OFF_PEAK,1072.0,1284.0
247,749,2018-02-06,OFF_PEAK,1909.0,2277.0
248,1,2018-02-07,PEAK,292.0,435.0
249,43,2018-02-07,PEAK,83.0,140.0
250,43,2018-02-07,OFF_PEAK,249.0,354.0
251,1,2018-02-07,OFF_PEAK,896.0,1155.0
252,749,2018-02-07,PEAK,617.0,809.0
253,749,2018-02-07,OFF_PEAK,1859.0,2327.0
254,751,2018-02-07,OFF_PEAK,1045.0,1306.0
255,751,2018-02-07,PEAK,344.0,449.0
256,43,2018-02-08,OFF_PEAK,146.0,306.0
257,43,2018-02-08,PEAK,69.0,139.0
258,1,2018-02-08,PEAK,383.0,517.0
259,1,2018-02-08,OFF_PEAK,974.0,1353.0
260,751,2018-02-08,OFF_PEAK,1102.0,1381.0
261,749,2018-02-08,OFF_PEAK,1815.0,2287.0
262,749,2018-02-08,PEAK,605.0,788.0
263,751,2018-02-08,PEAK,393.0,501.0
264,751,2018-02-09,PEAK,290.0,428.0
265,751,2018-02-09,OFF_PEAK,891.0,1236.0
266,749,2018-02-09,OFF_PEAK,1571.0,2071.0
267,749,2018-02-09,PEAK,662.0,853.0
268,1,2018-02-09,OFF_PEAK,673.0,1048.0
269,1,2018-02-09,PEAK,231.0,361.0
270,43,2018-02-09,OFF_PEAK,156.0,333.0
271,43,2018-02-09,PEAK,49.0,109.0
272,43,2018-02-10,OFF_PEAK,278.0,515.0
273,1,2018-02-10,OFF_PEAK,1210.0,1644.0
274,751,2018-02-10,OFF_PEAK,880.0,1038.0
275,749,2018-02-10,OFF_PEAK,2037.0,2699.0
276,751,2018-02-11,OFF_PEAK,1262.0,1579.0
277,749,2018-02-11,OFF_PEAK,2008.0,2726.0
278,1,2018-02-11,OFF_PEAK,897.0,1196.0
