gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
21,21,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,165,228,
21,21,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,300,464,
22,22,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,768,1026,
22,22,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,345,466,
23,23,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,458,607,
23,23,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,1018,1405,
24,24,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,148,216,
24,24,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,37,89,
26,26,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,169,242,
26,26,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,42,119,
27,27,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,38,80,
27,27,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,112,191,
28,28,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,975,1361,
28,28,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,375,535,
29,29,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,67,220,
29,29,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,213,375,
30,30,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,169,254,
30,30,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,72,109,
31,31,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,260,315,
31,31,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,617,802,
32,32,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,927,1177,
32,32,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,558,724,
33,33,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,27,73,
33,33,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,68,139,
34,34,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,377,547,
34,34,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,187,276,
34E,34E,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,150,310,
34E,34E,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,372,717,
35,35,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,207,317,
35,35,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,142,198,
36,36,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,159,261,
36,36,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,342,522,
37,37,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,151,220,
37,37,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,63,133,
38,38,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,71,129,
38,38,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,151,213,
39,39,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,1210,1521,
39,39,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,533,662,
40,40,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,36,89,
40,40,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,132,194,
41,41,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,167,367,
41,41,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,76,177,
42,42,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,62,110,
42,42,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,172,319,
43,43,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,238,353,
43,43,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,79,129,
44,44,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,152,247,
44,44,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,386,572,
45,45,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,355,512,
45,45,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,155,226,
47,47,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,136,225,
47,47,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,261,534,
50,50,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,108,149,
50,50,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,78,108,
51,51,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,72,129,
51,51,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,168,253,
52,52,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,32,178,
52,52,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,39,133,
55,55,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,87,137,
55,55,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,64,93,
57,57,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,258,362,
