gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
62,62,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,88,169,
64,64,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,51,107,
64,64,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,117,196,
65,65,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,161,246,
65,65,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,118,188,
66,66,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,283,390,
66,66,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,700,959,
67,67,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,70,104,
67,67,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,27,68,
68,68,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,26,41,
68,68,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,48,73,
69,69,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,227,264,
69,69,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,92,117,
70,70,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,346,567,
70,70,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,148,240,
70A,70A,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,44,106,
70A,70A,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,87,176,
71,71,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,352,419,
71,71,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,713,888,
72,72,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,235,287,
72,72,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,89,141,
73,73,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,548,661,
73,73,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,835,1001,
74,74,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,186,236,
74,74,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,40,74,
75,75,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,32,51,
75,75,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,73,99,
76,76,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,167,228,
76,76,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,85,131,
77,77,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,266,373,
77,77,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,1173,1460,
78,78,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,275,338,
78,78,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,95,146,
79,79,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,79,107,
79,79,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,162,213,
80,80,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,312,431,
80,80,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,86,159,
83,83,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,231,291,
83,83,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,85,110,
84,84,,Limited Service,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,68,88,
84,84,,Limited Service,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,16,17,
85,85,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,11,41,
85,85,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,38,67,
86,86,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,308,485,
86,86,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,174,241,
87,87,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,109,198,
87,87,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,368,516,
88,88,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,442,546,
88,88,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,160,202,
89,89,,Local Bus,Other Bus,Bus,2018-03-16,OFF_PEAK,Headway / Schedule Adherence,204,315,
89,89,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,126,207,
90,90,,Local Bus,Other Bus,Bus,2018-03-16,PEAK,Headway / Schedule Adherence,34,55,
